date,open,high,low,close,volume,dividends,stock_splits
2021-11-30 00:00:00+05:30,3.88,3.88,3.88,3.88,0.0,0.0,0.0
2021-11-29 00:00:00+05:30,3.7,3.7,3.7,3.7,0.0,0.0,0.0
2021-11-26 00:00:00+05:30,3.53,3.53,3.53,3.53,0.0,0.0,0.0
2021-11-25 00:00:00+05:30,3.37,3.37,3.37,3.37,0.0,0.0,0.0
2021-11-24 00:00:00+05:30,3.21,3.21,3.21,3.21,0.0,0.0,0.0
2021-11-23 00:00:00+05:30,3.06,3.06,3.06,3.06,0.0,0.0,0.0
2021-11-22 00:00:00+05:30,2.92,2.92,2.82,2.92,0.0,0.0,0.0
2021-11-18 00:00:00+05:30,2.53,2.79,2.53,2.79,0.0,0.0,0.0
2021-11-17 00:00:00+05:30,2.66,2.66,2.66,2.66,0.0,0.0,0.0
2021-11-16 00:00:00+05:30,2.8,2.8,2.8,2.8,0.0,0.0,0.0
2021-11-15 00:00:00+05:30,3.21,3.24,2.94,2.94,0.0,0.0,0.0
2021-11-12 00:00:00+05:30,3.09,3.09,3.09,3.09,0.0,0.0,0.0
2021-11-11 00:00:00+05:30,2.95,2.95,2.95,2.95,0.0,0.0,0.0
2021-11-10 00:00:00+05:30,2.8,2.81,2.75,2.81,0.0,0.0,0.0
2021-11-09 00:00:00+05:30,2.67,2.68,2.5,2.68,0.0,0.0,0.0
2021-11-08 00:00:00+05:30,2.57,2.57,2.38,2.56,0.0,0.0,0.0
2021-11-04 00:00:00+05:30,2.35,2.45,2.33,2.45,0.0,0.0,0.0
2021-11-03 00:00:00+05:30,2.3,2.36,2.3,2.34,0.0,0.0,0.0
2021-11-02 00:00:00+05:30,2.28,2.29,2.12,2.25,0.0,0.0,0.0
2021-11-01 00:00:00+05:30,2.21,2.22,2.06,2.19,0.0,0.0,0.0
