date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,3.73,3.74,3.64,3.68,3727360,0.0,0.0
2024-09-03 00:00:00+05:30,3.71,3.72,3.64,3.66,4408373,0.0,0.0
2024-09-04 00:00:00+05:30,3.65,3.67,3.64,3.66,2272308,0.0,0.0
2024-09-05 00:00:00+05:30,3.68,3.68,3.6,3.64,3828373,0.0,0.0
2024-09-06 00:00:00+05:30,3.67,3.68,3.6,3.61,4229925,0.0,0.0
2024-09-09 00:00:00+05:30,3.63,3.7,3.58,3.59,4354502,0.0,0.0
2024-09-10 00:00:00+05:30,3.62,3.82,3.62,3.77,11050272,0.0,0.0
2024-09-11 00:00:00+05:30,3.8,3.8,3.65,3.69,4858003,0.0,0.0
2024-09-12 00:00:00+05:30,3.74,3.75,3.64,3.66,4257127,0.0,0.0
2024-09-13 00:00:00+05:30,3.68,3.74,3.66,3.67,2972570,0.0,0.0
