date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,331.3,334.1,329.75,330.45,94860,0.0,0.0
2024-09-03 00:00:00+05:30,330.5,336.95,330.5,333.25,74733,0.0,0.0
2024-09-04 00:00:00+05:30,331.05,350.95,331.05,349.3,130843,0.0,0.0
2024-09-05 00:00:00+05:30,352.0,359.85,348.75,355.05,185764,0.0,0.0
2024-09-06 00:00:00+05:30,357.45,360.3,345.6,346.7,63306,0.0,0.0
2024-09-09 00:00:00+05:30,346.7,346.7,337.0,341.9,44597,0.0,0.0
2024-09-10 00:00:00+05:30,343.5,349.8,340.0,346.5,70435,0.0,0.0
2024-09-11 00:00:00+05:30,346.5,351.65,338.65,340.0,83933,0.0,0.0
2024-09-12 00:00:00+05:30,341.45,357.0,341.45,352.15,60712,0.0,0.0
2024-09-13 00:00:00+05:30,353.75,359.6,340.0,352.65,102709,0.0,0.0
