date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,81.0,81.09,77.06,77.52,3368060,0.0,0.0
2024-09-03 00:00:00+05:30,77.0,78.25,76.5,76.91,2349754,0.0,0.0
2024-09-04 00:00:00+05:30,76.68,77.45,75.1,75.44,2844581,0.0,0.0
2024-09-05 00:00:00+05:30,76.13,77.67,75.55,76.08,2613712,0.0,0.0
2024-09-06 00:00:00+05:30,76.65,77.09,74.57,75.38,2525013,0.0,0.0
2024-09-09 00:00:00+05:30,75.5,75.69,72.56,73.25,3277547,0.0,0.0
2024-09-10 00:00:00+05:30,73.78,79.99,73.75,79.1,5341362,0.0,0.0
2024-09-11 00:00:00+05:30,79.7,79.99,76.2,76.92,3657605,0.0,0.0
2024-09-12 00:00:00+05:30,76.99,78.89,75.59,76.95,2736899,0.0,0.0
2024-09-13 00:00:00+05:30,77.59,78.88,76.64,77.27,1851200,0.0,0.0
