date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,79.72,80.24,77.75,77.96,185406,0.0,0.0
2024-09-03 00:00:00+05:30,77.98,79.36,77.89,78.84,246794,0.0,0.0
2024-09-04 00:00:00+05:30,78.57,82.98,78.15,82.26,607693,0.0,0.0
2024-09-05 00:00:00+05:30,83.31,84.4,79.5,79.99,5746467,0.0,0.0
2024-09-06 00:00:00+05:30,80.2,81.41,77.29,77.94,443678,0.0,0.0
2024-09-09 00:00:00+05:30,78.84,79.0,76.81,78.25,559027,0.0,0.0
2024-09-10 00:00:00+05:30,78.62,79.85,77.88,78.09,279316,0.0,0.0
2024-09-11 00:00:00+05:30,78.12,78.68,77.1,77.31,188418,0.0,0.0
2024-09-12 00:00:00+05:30,77.56,80.46,76.99,79.52,417882,0.0,0.0
2024-09-13 00:00:00+05:30,79.93,81.81,79.69,80.01,310108,0.0,0.0
