date,open,high,low,close,volume,dividends,stock_splits
2024-09-02 00:00:00+05:30,96.57,98.47,94.65,95.88,1308166,0.0,0.0
2024-09-03 00:00:00+05:30,95.95,98.81,95.0,95.41,1773975,0.0,0.0
2024-09-04 00:00:00+05:30,95.09,96.5,94.11,94.61,1134178,0.0,0.0
2024-09-05 00:00:00+05:30,95.35,95.89,93.21,93.74,569820,0.0,0.0
2024-09-06 00:00:00+05:30,93.16,94.73,91.0,91.23,845914,0.0,0.0
2024-09-09 00:00:00+05:30,91.02,91.8,88.79,91.3,1480521,0.0,0.0
2024-09-10 00:00:00+05:30,91.38,93.38,91.38,92.65,598194,0.0,0.0
2024-09-11 00:00:00+05:30,92.03,92.79,90.17,90.59,299438,0.0,0.0
2024-09-12 00:00:00+05:30,90.84,94.25,90.0,92.99,640209,0.0,0.0
2024-09-13 00:00:00+05:30,93.0,94.18,91.61,91.86,599325,0.0,0.0
