date,open,high,low,close,volume,dividends,stock_splits
2022-02-28 00:00:00+05:30,1.44,1.58,1.44,1.55,0.0,0.0,0.0
2022-02-25 00:00:00+05:30,1.51,1.58,1.51,1.51,0.0,0.0,0.0
2022-02-24 00:00:00+05:30,1.58,1.58,1.58,1.58,0.0,0.0,0.0
2022-02-23 00:00:00+05:30,1.52,1.66,1.52,1.66,0.0,0.0,0.0
2022-02-22 00:00:00+05:30,1.59,1.59,1.59,1.59,0.0,0.0,0.0
2022-02-21 00:00:00+05:30,1.67,1.7,1.67,1.67,0.0,0.0,0.0
2022-02-18 00:00:00+05:30,1.75,1.75,1.75,1.75,0.0,0.0,0.0
2022-02-17 00:00:00+05:30,1.84,1.92,1.84,1.84,0.0,0.0,0.0
2022-02-16 00:00:00+05:30,2.13,2.13,1.93,1.93,0.0,0.0,0.0
2022-02-15 00:00:00+05:30,1.86,2.04,1.86,2.03,0.0,0.0,0.0
2022-02-14 00:00:00+05:30,1.95,1.95,1.95,1.95,0.0,0.0,0.0
2022-02-11 00:00:00+05:30,2.05,2.05,2.05,2.05,0.0,0.0,0.0
2022-02-10 00:00:00+05:30,2.15,2.15,2.15,2.15,0.0,0.0,0.0
2022-02-09 00:00:00+05:30,2.36,2.36,2.26,2.26,0.0,0.0,0.0
2022-02-08 00:00:00+05:30,2.36,2.37,2.15,2.37,0.0,0.0,0.0
2022-02-07 00:00:00+05:30,2.25,2.26,2.06,2.26,0.0,0.0,0.0
2022-02-04 00:00:00+05:30,2.16,2.16,1.96,2.16,0.0,0.0,0.0
2022-02-03 00:00:00+05:30,1.88,2.06,1.88,2.06,0.0,0.0,0.0
2022-02-02 00:00:00+05:30,1.97,1.97,1.97,1.97,0.0,0.0,0.0
2022-02-01 00:00:00+05:30,2.07,2.07,2.07,2.07,0.0,0.0,0.0
