date,company,amount,exchange,segment,scrip_code,instrument_type,strike_price,expiry,trade_num,trade_time,side,quantity,price
2024-08-27 00:00:00,Orient Green Power Company Ltd.,392.23,NSE,EQ,533263,Equity,,,0,11:02:00,Sell,61,6.43
2024-07-29 00:00:00,MPS Infotecnics,82,NSE,EQ,532411,Equity,,,0,14:08:00,Sell,200,0.41
2024-07-04 00:00:00,Capital Trade Links,2147.78,NSE,EQ,538476,Equity,,,0,14:55:00,Sell,34,63.17
2024-07-04 00:00:00,RattanIndia Power,3424,NSE,EQ,533122,Equity,,,0,14:54:00,Sell,200,17.12
2024-06-21 00:00:00,IDFC First Bank,1920.5,NSE,EQ,539437,Equity,,,0,15:14:00,Buy,23,83.5
2024-06-21 00:00:00,Deepak Nitrite,2546,NSE,EQ,506401,Equity,,,0,15:13:00,Buy,1,2546
2024-06-21 00:00:00,KNR Constructions,2824,NSE,EQ,532942,Equity,,,0,15:09:00,Buy,8,353
2024-03-13 00:00:00,Urja Global,2000,NSE,EQ,526987,Equity,,,0,09:34:00,Sell,100,20
2024-01-19 00:00:00,Cressanda Railway Solutions,600,NSE,EQ,512379,Equity,,,0,10:38:00,Sell,25,24
2024-01-18 00:00:00,RattanIndia Power,5250,NSE,EQ,533122,Equity,,,0,12:55:00,Sell,500,10.5
2024-01-18 00:00:00,Capital Trade Links,40.2,NSE,EQ,538476,Equity,,,0,10:48:00,Sell,1,40.2
2023-11-23 00:00:00,Prakash Steelage,1650,NSE,EQ,533239,Equity,,,0,13:41:00,Sell,300,5.5
2023-11-20 00:00:00,Orient Green Power Company,9280,NSE,EQ,533263,Equity,,,0,14:37:00,Sell,400,23.2
2023-09-07 00:00:00,Orient Green Power Company,2740,NSE,EQ,533263,Equity,,,0,15:17:00,Sell,200,13.7
2022-08-12 00:00:00,Data Patterns (India),1664,NSE,EQ,543428,Equity,,,0,09:37:00,Sell,2,832
2022-07-06 00:00:00,Campus Activewear,1732.75,NSE,EQ,543523,Equity,,,0,09:55:00,Sell,5,346.55
2022-06-03 00:00:00,Virtual Global Education,700,NSE,EQ,534741,Equity,,,0,09:52:00,Sell,500,1.4
2022-05-25 00:00:00,Jaiprakash Power Ventures,700,NSE,EQ,532627,Equity,,,0,14:32:00,Sell,100,7
2022-05-20 00:00:00,Sword-Edge Commercials,154,NSE,EQ,512359,Equity,,,0,14:14:00,Sell,200,0.77
2022-05-09 00:00:00,Campus Activewear,1700,NSE,EQ,543523,Equity,,,0,10:03:00,Buy,5,340
2022-05-09 00:00:00,Lloyds Engineering Works,2766,NSE,EQ,539992,Equity,,,0,09:54:00,Sell,200,13.83
2022-05-09 00:00:00,Lloyds Engineering Works,4230,NSE,EQ,539992,Equity,,,0,09:52:00,Sell,300,14.1
2022-05-06 00:00:00,Tata Teleservices (Maharashtra),9688,NSE,EQ,532371,Equity,,,0,10:13:00,Sell,70,138.4
2022-03-17 00:00:00,Cressanda Railway Solutions,320.75,NSE,EQ,512379,Equity,,,0,11:09:00,Sell,25,12.83
2022-02-28 00:00:00,Lloyds Engineering Works,12630,NSE,EQ,539992,Equity,,,0,13:00:00,Sell,1000,12.63
2022-02-24 00:00:00,Sword-Edge Commercials,492,NSE,EQ,512359,Equity,,,0,10:00:00,Sell,600,0.82
2022-02-21 00:00:00,Reliance Power,1400,NSE,EQ,532939,Equity,,,0,11:10:00,Sell,100,14
2022-02-16 00:00:00,Raghuvir Synthetics,225.95,NSE,EQ,514316,Equity,,,0,09:15:00,Buy,1,225.95
