date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
2022-01-21,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.75,93.0,7.86,94.32,7.3,87.6,7.49,89.88
2022-01-22,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.75,93.0,7.86,94.32,7.3,87.6,7.49,89.88
2022-01-23,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.75,93.0,7.86,94.32,7.3,87.6,7.49,89.88
2022-01-24,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.79,93.48,7.8,93.6,7.12,85.44,7.12,85.44
2022-01-24,EQ,NSE,TATAMOTORS,TATA MOTORS,2.0,477.05,954.1,497.42,994.84,501.15,1002.3,470.54,941.08,475.6,951.2
2022-01-24,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,597.45,5974.5,597.45,5974.5,561.47,5614.7,565.52,5655.2
2022-01-24,EQ,NSE,ZOMATO,ZOMATO LIMITED,30.0,95.33,2860.0,114.0,3420.0,114.2,3426.0,90.95,2728.5,91.35,2740.5
2022-01-25,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,6.85,82.2,7.29,87.48,6.77,81.24,7.08,84.96
2022-01-25,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,470.09,4700.9,489.32,4893.2,464.72,4647.2,487.38,4873.8
2022-01-25,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,557.77,5577.7,564.97,5649.7,543.95,5439.5,555.65,5556.5
2022-01-25,EQ,NSE,ZOMATO,ZOMATO LIMITED,50.0,96.82,4841.0,90.95,4547.5,100.45,5022.5,84.15,4207.5,100.45,5022.5
2022-01-26,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,6.85,82.2,7.29,87.48,6.77,81.24,7.08,84.96
2022-01-26,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,470.09,4700.9,489.32,4893.2,464.72,4647.2,487.38,4873.8
2022-01-26,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,557.77,5577.7,564.97,5649.7,543.95,5439.5,555.65,5556.5
2022-01-26,EQ,NSE,ZOMATO,ZOMATO LIMITED,50.0,96.82,4841.0,90.95,4547.5,100.45,5022.5,84.15,4207.5,100.45,5022.5
2022-01-27,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.2,86.4,7.2,86.4,6.81,81.72,7.16,85.92
2022-01-27,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,478.93,4789.3,499.41,4994.1,474.56,4745.6,491.21,4912.1
2022-01-27,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,550.86,5508.6,550.86,5508.6,530.57,5305.7,537.78,5377.8
2022-01-27,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,98.0,9604.0,98.0,9604.0,90.45,8864.1,90.5,8869.0
2022-01-28,EQ,NSE,RTNPOWER,RATTANINDIA POWER LIMITED,12.0,7.7,92.4,7.3,87.6,7.51,90.12,7.02,84.24,7.48,89.76
2022-01-28,EQ,NSE,TATAMOTORS,TATA MOTORS,10.0,482.45,4824.5,497.02,4970.2,506.17,5061.7,492.45,4924.5,494.34,4943.4
2022-01-28,EQ,NSE,WIPRO,WIPRO LTD.,10.0,580.5,5805.0,542.96,5429.6,557.77,5577.7,540.29,5402.9,545.13,5451.3
2022-01-28,EQ,NSE,ZOMATO,ZOMATO LIMITED,98.0,94.92,9301.75,93.6,9172.8,96.45,9452.1,88.8,8702.4,89.55,8775.9
