datetime,exchange,segment,symbol,scrip_name,side,amount,quantity,price,expiry_date
2022-01-21 09:49:01,NSE,EQ,RTNPOWER,RATTANINDIA POWER LIMITED,BUY,92.4,12,7.7,
2022-01-24 09:28:41,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,1019.5,10,101.95,
2022-01-24 09:50:01,NSE,EQ,WIPRO,WIPRO LTD.,BUY,2941.25,5,588.25,
2022-01-24 14:30:26,NSE,EQ,WIPRO,WIPRO LTD.,BUY,2863.75,5,572.75,
2022-01-24 14:30:28,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,931.0,10,93.1,
2022-01-24 15:26:07,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,909.5,10,90.95,
2022-01-24 15:27:53,NSE,EQ,TATAMOTORS,TATA MOTORS,BUY,954.1,2,477.05,
2022-01-25 11:54:40,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,1981.0,20,99.05,
2022-01-25 11:56:08,NSE,EQ,TATAMOTORS,TATA MOTORS,BUY,3870.4,8,483.8,
2022-01-27 10:06:18,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,3732.0,40,93.3,
2022-01-27 14:20:07,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,455.75,5,91.15,
2022-01-27 14:21:01,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,273.0,3,91.0,
2022-02-07 00:00:00,NSE,EQ,AWL,ADANI WILMAR LIMITED,BUY,14950.0,65,230.0,
2022-02-10 15:26:49,NSE,EQ,AWL,ADANI WILMAR LIMITED,SELL,1545.0,4,386.25,
2022-02-10 15:26:49,NSE,EQ,AWL,ADANI WILMAR LIMITED,SELL,8111.25,21,386.25,
2022-02-16 09:25:10,NSE,EQ,ZOMATO,ZOMATO LIMITED,BUY,169.7,2,84.85,
2022-03-10 10:11:26,FON,FO,BANKNIFTY,BANKNIFTY-CE-35100-10MAR2022,BUY,6000.0,25,240.0,2022-03-10
2022-03-10 10:26:18,FON,FO,BANKNIFTY,BANKNIFTY-CE-35100-10MAR2022,SELL,8521.25,25,340.85,2022-03-10
2022-03-10 15:08:05,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,BUY,350.0,25,14.0,2022-03-10
2022-03-10 15:12:27,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,SELL,700.0,25,28.0,2022-03-10
2022-03-10 15:15:29,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,BUY,275.0,25,11.0,2022-03-10
2022-03-10 15:23:44,FON,FO,BANKNIFTY,BANKNIFTY-CE-34600-10MAR2022,SELL,20.0,25,0.8,2022-03-10
2022-03-17 10:10:13,FON,FO,BANKNIFTY,BANKNIFTY-CE-36500-17MAR2022,BUY,4375.0,25,175.0,2022-03-17
2022-03-17 10:58:04,FON,FO,BANKNIFTY,BANKNIFTY-CE-36500-17MAR2022,SELL,3875.0,25,155.0,2022-03-17
